name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"[PR]ТЕМПЕРАТУРА ЗАБИРАЕМОГО ВОЗДУХА","PR059","22240D","(1.0*((A*256+B)-2730))/10","0","0","*C","7E0"
"[PR]ДАВЛЕНИЕ НАДДУВА","PR041","222401","(A*256+B)","0","0","мбар","7E0"
"[PR]ТЕМПЕРАТУРА НА ВХОДЕ ТУРБИНЫ","PR667","222439","(1.0*((A*256+B)-2730))/10","0","0","*C","7E0"
"[PR]АТМОСФЕРНОЕ ДАВЛЕНИЕ","PR035","222009","(A*256+B)","0","0","мбар","7E0"
"[PR]ТЕМПЕРАТУРА ВОДЫ","PR064","222001","(1.0*((A*256+B)-2730))/10","0","0","*C","7E0"
"[PR]НАПРЯЖЕНИЕ ПИТАНИЯ КОМПЬЮТЕРА","PR071","222005","(1.0*((A*256+B)))/100","0","0","V","7E0"
"[PR]СКОРОСТИ АВТОМОБИЛЯ","PR089","222003","(1.0*((A*256+B)))/100","0","0","км/час","7E0"
"[PR]КРУТЯЩИЙ МОМЕНТ ДВИГАТЕЛЯ","PR015","222004","(1.0*((A*256+B)-12800))/32","0","0","Nm","7E0"
"[PR]PARAMETRE PRIVE 36","PR1004","222486","(1.0*(A))/2.55","0","0","%","7E0"
"[PR]ИЗМЕРЯЕМЫЙ МАССОВЫЙ РАСХОД ВОЗДУХА","PR916","2224F2","(1.0*((A*256+B)))/10","0","0","kg/h","7E0"
"[PR]ДАВЛЕНИЕ В ТОПЛИВНОЙ МАГИСТРАЛИ","PR038","222801","(A*256+B)","0","0","bar","7E0"
"[PR]УСТАВКА ДАВЛЕНИЯ В ТОПЛИВНОЙ МАГИСТРАЛИ","PR008","222802","(A*256+B)","0","0","bar","7E0"
"[PR]ТЕМПЕРАТУРА НА ВХОДЕ ПРОТИВОСАЖ. ФИЛЬТРА","PR382","222442","(1.0*((A*256+B)-2730))/10","0","0","*C","7E0"
"[PR]ПОСЛЕДН СМЕЩЕН ЗАКРЫТ ЗАСЛОН ВПУСКА ВОЗД","PR860","222428","(1.0*(A*256+B))/20.491","0","0","%","7E0"
"[PR]АБС. ПОЛОЖЕНИЕ ЗАСЛОНКИ ВПУСКА ВОЗДУХА","PR1021","2224CA","((A*256+B)*0.0488)","0","0","%","7E0"
"[PR]ПЕРВОЕ СМЕЩЕН ОТКРЫТОЙ ЗАСЛОН ВПУСК ВОЗД","PR858","222425","(1.0*(A*256+B))/20.491","0","0","%","7E0"
"[PR]ПЕРВОЕ СМЕЩЕН ЗАКРЫТ ЗАСЛОН ВПУСК ВОЗДУХ","PR859","222427","(1.0*(A*256+B))/20.491","0","0","%","7E0"
"[PR]ПОСЛЕД СМЕЩЕН ОТКРЫТ ЗАСЛОН ВПУСКА ВОЗД","PR861","222426","(1.0*(A*256+B))/20.4918","0","0","%","7E0"
"[PR]ЧИСЛО НЕУДАЧНЫХ ПОПЫТОК РЕГЕНЕРАЦИИ","PR848","222485","A","0","0","","7E0"
"[PR]ПРОБЕГ ПОСЛЕ ЗАМЕНЫ ПРОТИВОСАЖ. ФИЛЬТРА","PR1078","2224BB","(A*65536+B*256+C)","0","0","km","7E0"
"[PR]ПРОХОЖДЕНИЕ ОГ В ПРОТИВОСАЖЕВОМ ФИЛЬТРЕ","PR1005","222447","(1.0*((A*256+B)))/10","0","0","м3/ч","7E0"
"[PR]РАСХОД ПОСЛЕ СИСТЕМЫ ВПРЫСКА 1","PR988","22280E","(1.0*((A*256+B)))/100","0","0","mg/cp","7E0"
"[PR]МАССА САЖИ В ПРОТИВОСАЖЕВОМ ФИЛЬТРЕ","PR383","22242C","(1.0*((A*256+B)))/100","0","0","грамм","7E0"
