Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,Header
"[ET001] Плюс После Вкл. Зажиг. На Комп.","Ignition","22200E","{A:0}","0","0","","7E0"
"[ET018] Запрос На Вкл. Кондиционера","AC req","222229","{A:0}","0","0","","7E0"
"[ET038] Двигатель","Engine","222010","A","0","0","","7E0"
"[ET041] Перед. Отнош. Коробки Передач","перед отн КПП","222C04","(A&7)","0","0","","7E0"
"[ET043] Регулировка Скорости","рег скор","222079","{A:3}","0","0","","7E0"
"[ET115] Сигн. Лампа Предпуск. Подогрева","Glow lamp","222823","{A:0}","0","0","","7E0"
"[ET116] Разреш. На Включ. Кондиционера","AC perm","222092","{A:0}","0","0","","7E0"
"[ET160] Команда Реле Предвар. Подогрева","Glow","22201A","{A:0}","0","0","","7E0"
"[ET205] Управл. Реле Рез. Сист. Охл. No. 1","T-1","22201D","{A:0}","0","0","","7E0"
"[ET206] Управл. Реле Рез. Сист. Охл. No. 2","T-2","22201D","{A:1}","0","0","","7E0"
"[ET207] Управл. Реле Рез. Сист. Охл. No. 3","T-3","22201D","{A:2}","0","0","","7E0"
"[ET336] Ввод Значения Параметра Функции Рог","ввод знач парам рог","222479","{A:0}","0","0","","7E0"
"[ET405] Контакт Педали Сцепления","конт пед сцепл","22222D","(A&7)","0","0","","7E0"
"[ET413] Функция КК/СЛ","функция КК","22204C","(A&7)","0","0","","7E0"
"[ET521] Информация О Минимальном Уровне Топлива","мин ур топл","22281B","{A:0}","0","0","","7E0"
"[ET587] Сист Охлажд Рециркул Отработавших Газов","сист охл рог","22240F","{A:0}","0","0","","7E0"
"[ET649] Детектор Воды В Дизельном Топливе","water!","22FD70","{A:0}","0","0","","7E0"
"[ET673] Обнаруж. Блокировки Педали Акселератора","блокир аксел","222036","A","0","0","","7E0"
"[ET691] Выключатель Запуска Двигателя","выкл зап двигателя","222079","{A:0}","0","0","","7E0"
"[ET702] Статическая Регенерация","статич реген","222434","(A&7)","0","0","","7E0"
"[ET703] Выключатель Регулятора/Ограничителя Скорости","выкл КК","22204B","(A&7)","0","0","","7E0"
"[ET723] Отображаемая Скорость Автомобиля","disp speed","222226","{A:0}","0","0","","7E0"
"[ET724] Мультиплексир. Информация О Скорости Автомобиля","info speed","222225","{A:0}","0","0","","7E0"
"[ET726] Включение Заднего Хода","включ задн ход","222079","{A:1}","0","0","","7E0"
"[ET727] Соедин Рег/Огр Ск После Наж Выкл Рег Ск","соед кк после рег скор","22203B","{A:0}","0","0","","7E0"
"[ET728] Соедин Рег/Огр Ск После Наж Выкл Огр Ск","соед кк после огр скор","22203E","{A:0}","0","0","","7E0"
"[ET732] Ручной Или Автомат. Стояночный Тормоз","parking","22222B","{A:0}","0","0","","7E0"
"[ET755] Нейт. Полож. Рыч Перекл. Механ. Кор. Пер","нейтр МКПП","22222E","(A&3)","0","0","","7E0"
"[ET756] Авт. Кор. Пер. Работает В Резер. Режиме","АКПП bypass!","22204F","{A:6}","0","0","","7E0"
"[ET757] Пер Инф По Мул Сети От Дат Хода Пед Сцеп","инф по мульт от сцеп","222222","{A:0}","0","0","","7E0"
"[ET759] Пер. Инф. По Мул. Сети О Распоз. Тормож.","распозн тормож","22200F","(A&15)","0","0","","7E0"
"[ET760] Первый Запуск Двигателя","первый зап двигателя","222047","{A:0}","0","0","","7E0"
"[ET764] Сигн Датч Нач Хода Пед Сц По Пров Связи","нач хода пед сцеп","22222F","{A:0}","0","0","","7E0"
"[ET767] Единица Измерения Скорости Автомобиля","ед измер сокрости","222051","{A:0}","0","0","","7E0"
"[ET774] Регулирование Давления Наддува","рег давл наддува","22241E","(A&31)","0","0","","7E0"
